Team,MP,FG,FGA,FT,FTA,3P,3PA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,L,FG%,FT%,3P%,2P%
McNeese State,200.0,31.75,61.75,17.58,22.58,6.92,20.0,11.42,22.08,33.5,16.83,11.42,4.42,9.92,18.58,88.0,10.0,2.0,0.51,0.77,0.34,0.59
Memphis,202.27,26.09,62.45,15.45,21.82,6.64,21.64,12.18,21.27,33.45,13.45,8.73,4.0,13.36,21.36,74.27,4.0,7.0,0.42,0.71,0.29,0.48
Menlo,200.0,23.0,54.0,17.0,30.0,6.0,15.0,8.0,23.0,31.0,11.0,3.0,3.0,21.0,22.0,69.0,0.0,1.0,0.43,0.57,0.4,0.44
Mercer,200.0,28.58,64.08,14.5,21.0,8.83,27.08,10.58,23.33,33.92,14.17,9.33,3.33,10.67,15.42,80.5,7.0,5.0,0.45,0.67,0.33,0.53
Merchant Marine Academy,200.0,16.0,50.0,5.0,9.0,9.0,22.0,5.0,14.0,19.0,12.0,6.0,1.0,18.0,10.0,46.0,0.0,1.0,0.32,0.56,0.41,0.25
Mercy,200.0,21.0,65.0,16.0,20.0,3.0,22.0,7.0,22.0,29.0,6.0,7.0,0.0,12.0,25.0,61.0,0.0,1.0,0.32,0.8,0.14,0.42
Mercyhurst,200.46,26.31,58.46,8.08,13.31,5.92,18.92,7.92,21.08,29.0,15.08,8.0,3.92,9.62,18.69,66.62,5.0,8.0,0.45,0.58,0.31,0.52
Merrimack,200.0,21.29,54.57,14.21,18.43,8.21,26.71,6.14,16.71,22.86,11.64,7.57,4.71,9.57,17.0,65.0,7.0,7.0,0.39,0.77,0.3,0.47
Miami (FL),200.0,33.15,63.38,15.46,23.31,7.54,20.62,11.31,25.85,37.15,19.85,8.85,3.77,11.31,16.85,89.46,11.0,2.0,0.53,0.65,0.37,0.6
Miami (OH),202.08,31.83,60.5,16.92,22.08,11.17,26.92,7.33,27.25,34.58,17.08,7.75,3.33,10.42,16.67,91.75,12.0,0.0,0.52,0.74,0.42,0.61
Miami Middletown,200.0,24.0,60.0,19.0,23.0,6.0,17.0,8.0,24.0,32.0,12.0,5.0,4.0,27.0,9.0,73.0,0.0,1.0,0.4,0.83,0.35,0.42
Michigan,202.64,33.91,63.82,16.73,23.36,10.82,27.82,10.09,31.36,41.45,21.64,7.45,6.36,12.18,15.64,95.36,11.0,0.0,0.53,0.73,0.39,0.64
Michigan State,200.0,27.75,60.25,15.25,20.58,7.25,20.33,12.67,26.75,39.42,19.33,6.0,5.25,11.5,16.17,78.0,11.0,1.0,0.46,0.75,0.35,0.52
Mid-America Christian,200.0,24.0,61.0,3.0,5.0,11.0,31.0,7.0,15.0,22.0,12.0,9.0,1.0,9.0,13.0,62.0,0.0,1.0,0.39,0.6,0.36,0.43
Mid-Atlantic Christian,200.0,21.0,65.5,8.25,16.0,3.5,19.0,8.75,14.75,23.5,7.75,7.25,1.25,12.75,22.0,53.75,0.0,4.0,0.32,0.47,0.17,0.38
Middle Tennessee,200.0,28.09,64.0,12.73,18.09,9.09,27.91,10.91,24.0,34.91,14.27,6.73,5.27,10.27,17.73,78.0,7.0,4.0,0.44,0.7,0.33,0.52
Midway,200.5,25.5,56.75,6.0,9.5,8.25,23.5,4.75,18.75,23.5,13.75,5.5,3.5,15.5,18.25,65.25,0.0,4.0,0.44,0.69,0.35,0.51
Midwestern State,200.0,20.0,50.0,14.0,18.0,3.0,13.0,9.0,26.0,35.0,7.0,9.0,4.0,27.0,14.0,57.0,0.0,1.0,0.4,0.78,0.23,0.46
Milligan,200.0,18.0,66.0,10.0,17.0,5.0,28.0,9.0,24.0,33.0,7.0,5.0,0.0,15.0,10.0,51.0,0.0,1.0,0.27,0.59,0.18,0.34
Millsaps,200.0,28.0,61.0,15.0,26.0,5.0,17.0,8.0,24.0,32.0,7.0,5.0,2.0,15.0,15.0,76.0,0.0,1.0,0.46,0.58,0.29,0.52
Milwaukee,200.0,29.0,65.83,14.25,20.83,8.25,25.33,12.42,22.33,34.75,14.75,6.67,2.67,9.17,19.25,80.5,6.0,6.0,0.44,0.7,0.32,0.51
Minnesota,202.08,24.5,52.83,17.17,25.08,7.58,22.33,9.33,23.33,32.67,18.0,7.5,3.25,11.33,16.58,73.75,7.0,5.0,0.46,0.7,0.34,0.55
Minnesota-Crookston,200.0,28.0,57.0,3.0,4.0,8.0,22.0,1.0,20.0,21.0,13.0,9.0,4.0,19.0,19.0,67.0,0.0,1.0,0.49,0.75,0.36,0.57
Misericordia,200.0,23.0,59.0,8.5,13.0,9.5,24.5,5.0,16.5,21.5,11.5,9.0,2.5,15.0,13.0,64.0,0.0,2.0,0.39,0.68,0.39,0.39
Mississippi State,204.17,28.25,62.83,13.92,20.42,8.33,25.58,9.58,27.5,37.08,12.83,6.67,4.33,11.58,14.92,78.75,7.0,5.0,0.45,0.66,0.33,0.54
Mississippi University for Women,200.0,21.0,57.0,14.0,16.0,5.0,21.0,7.0,23.0,30.0,11.0,8.0,2.0,21.0,14.0,61.0,0.0,1.0,0.37,0.88,0.24,0.44
Mississippi Valley State,204.17,23.58,58.25,12.92,17.42,5.25,18.58,8.25,19.92,28.17,12.92,7.83,3.5,17.67,21.5,65.33,1.0,11.0,0.41,0.76,0.27,0.47
Missouri,200.0,31.5,58.67,15.75,23.17,8.0,21.42,10.5,24.17,34.67,15.83,8.25,3.42,12.92,17.58,86.75,10.0,2.0,0.54,0.68,0.39,0.63
Missouri Baptist University,200.0,22.0,58.0,5.0,8.0,6.0,24.0,6.0,13.0,19.0,7.0,4.0,2.0,11.0,15.0,55.0,0.0,1.0,0.38,0.62,0.25,0.47
Missouri Southern State,200.0,29.0,73.0,6.0,12.0,6.0,23.0,11.0,27.0,38.0,17.0,6.0,6.0,12.0,20.0,70.0,0.0,1.0,0.4,0.5,0.26,0.46
Missouri State,200.0,26.2,58.2,15.8,23.0,6.7,23.3,9.5,22.5,32.0,14.4,7.2,3.7,10.9,16.1,74.9,5.0,5.0,0.45,0.69,0.28,0.56
Mitchell,200.0,27.0,62.0,8.0,11.0,7.0,17.0,8.0,17.0,25.0,8.0,6.0,2.0,12.0,9.0,69.0,0.0,1.0,0.44,0.73,0.41,0.44
Molloy,200.0,27.0,70.0,4.0,9.0,3.0,21.0,7.0,22.0,29.0,12.0,5.0,1.0,13.0,16.0,61.0,0.0,1.0,0.39,0.44,0.14,0.49
Monmouth,201.92,25.77,58.54,15.23,20.46,6.38,18.23,10.0,22.46,32.46,14.31,7.77,5.15,11.38,15.77,73.15,6.0,7.0,0.44,0.74,0.36,0.48
Montana,200.0,28.15,57.23,16.15,22.0,8.46,24.15,6.92,27.69,34.62,16.23,5.62,2.85,14.23,17.85,80.92,6.0,7.0,0.49,0.72,0.35,0.59
Montana State,202.27,27.73,60.45,11.18,15.82,9.73,28.91,8.64,21.27,29.91,11.55,7.09,2.09,10.18,19.18,76.36,4.0,7.0,0.46,0.69,0.33,0.57
Montana Tech,200.0,28.0,56.0,12.0,21.0,14.0,29.0,5.0,22.0,27.0,13.0,4.0,5.0,8.0,16.0,82.0,1.0,0.0,0.5,0.57,0.48,0.52
Montana Western,200.0,22.0,58.0,10.0,16.0,10.0,24.0,8.0,15.0,23.0,9.0,5.0,7.0,11.0,20.0,64.0,0.0,1.0,0.38,0.62,0.42,0.35
Morehead State,202.08,27.17,60.58,14.83,21.08,6.08,18.92,11.5,22.58,34.08,13.42,7.83,3.08,13.0,18.67,75.25,5.0,7.0,0.45,0.7,0.33,0.5
Morgan State,200.0,23.75,56.67,17.42,23.25,5.17,18.25,8.33,18.17,26.5,12.17,5.17,2.58,13.17,21.92,70.08,2.0,10.0,0.42,0.74,0.27,0.49
Morris College,200.0,21.0,61.0,11.0,15.0,3.0,12.0,7.0,18.0,25.0,6.0,5.0,3.0,12.0,17.0,56.0,0.0,1.0,0.34,0.73,0.25,0.37
Mount Marty,200.0,26.0,60.0,6.0,7.0,11.0,30.0,5.0,8.0,13.0,16.0,10.0,2.0,9.0,15.0,69.0,0.0,1.0,0.43,0.86,0.37,0.5
Mount Olive,200.0,27.0,71.0,16.0,19.0,7.0,27.0,8.0,21.0,29.0,8.0,7.0,4.0,11.0,26.0,77.0,0.0,1.0,0.38,0.84,0.26,0.46
Mount Saint Mary (NY),200.0,11.0,47.0,12.0,17.0,3.0,26.0,3.0,11.0,14.0,6.0,7.0,2.0,22.0,9.0,37.0,0.0,1.0,0.23,0.71,0.12,0.38
Mount St. Mary's,201.92,24.46,55.38,10.77,16.85,8.85,26.23,8.31,23.92,32.23,15.46,6.0,3.08,16.23,18.92,68.54,4.0,9.0,0.44,0.62,0.34,0.54
Murray State,200.0,29.62,61.54,19.38,25.62,10.69,28.46,11.0,24.31,35.31,15.85,5.69,3.69,11.85,18.92,89.31,10.0,3.0,0.48,0.76,0.38,0.57
NC State,201.92,30.31,61.69,16.54,21.77,11.15,28.54,9.23,25.38,34.62,17.38,8.08,3.08,9.85,19.54,88.31,9.0,4.0,0.49,0.75,0.39,0.59
NJIT,200.0,20.75,55.58,13.17,18.92,8.42,27.08,7.5,24.0,31.5,10.67,4.5,3.08,13.83,17.83,63.08,4.0,8.0,0.38,0.68,0.31,0.45
Navy,200.0,24.69,55.0,17.62,23.23,6.08,18.31,10.0,24.69,34.69,14.62,7.54,2.54,12.15,15.77,73.08,8.0,5.0,0.45,0.78,0.33,0.51
Nebraska,200.0,29.67,61.5,13.25,17.83,10.75,30.83,8.42,27.5,35.92,19.08,6.75,2.58,9.33,14.0,83.33,12.0,0.0,0.48,0.76,0.35,0.62
Nevada,202.08,25.17,57.83,21.0,28.08,6.33,17.0,10.08,22.0,32.08,14.58,6.83,4.08,8.5,18.92,77.67,9.0,3.0,0.44,0.75,0.39,0.46
New College of Florida,200.0,23.5,58.5,9.0,15.0,7.5,21.0,5.0,24.5,29.5,9.5,2.5,3.5,20.5,20.0,63.5,0.0,2.0,0.4,0.65,0.36,0.43
New Hampshire,202.08,25.67,62.58,10.92,15.75,7.92,25.58,9.17,24.92,34.08,10.67,6.83,3.25,10.25,19.0,70.17,4.0,8.0,0.41,0.73,0.3,0.48
New Haven,200.0,25.73,57.45,10.36,15.91,6.64,22.09,9.27,22.82,32.09,12.45,8.27,2.55,10.73,14.64,68.45,5.0,6.0,0.44,0.64,0.29,0.53
New Mexico,200.0,27.33,59.5,17.75,22.92,9.58,28.67,9.17,25.17,34.33,15.25,7.83,3.17,10.83,17.33,82.0,10.0,2.0,0.46,0.77,0.34,0.58
New Mexico Highlands,200.0,17.33,49.0,13.33,20.33,5.0,19.67,7.0,20.67,27.67,9.33,6.67,2.33,20.67,20.33,53.0,0.0,3.0,0.36,0.66,0.25,0.43
New Mexico State,200.0,25.8,59.5,16.1,22.6,7.0,21.9,10.5,22.8,33.3,13.0,7.8,3.3,11.0,21.4,74.9,7.0,3.0,0.43,0.72,0.32,0.51
New Orleans,202.27,24.18,57.0,16.0,21.73,7.55,21.82,9.0,23.18,32.18,13.36,5.91,3.82,14.27,20.73,71.91,3.0,8.0,0.43,0.74,0.34,0.48
Newport News-Apprentice,200.0,21.0,64.0,8.0,11.0,8.0,20.0,12.0,22.0,34.0,11.0,5.0,7.0,20.0,8.0,58.0,0.0,1.0,0.33,0.73,0.4,0.3
Niagara,200.0,22.58,54.0,11.5,15.92,6.08,21.0,6.42,18.83,25.25,13.08,6.17,3.08,10.75,16.25,62.75,3.0,9.0,0.42,0.73,0.28,0.49
Nicholls State,200.0,26.45,60.45,13.64,21.09,9.0,26.45,9.18,19.64,28.82,13.45,9.91,2.09,11.18,19.55,75.55,3.0,8.0,0.44,0.65,0.35,0.51
Nobel University,197.67,20.33,53.5,13.17,19.17,2.17,9.5,6.5,17.67,24.17,7.33,4.5,1.83,18.33,20.17,56.0,0.0,6.0,0.38,0.68,0.26,0.41
Norfolk State,200.0,28.43,61.43,14.29,22.43,5.64,17.86,10.21,22.93,33.14,12.29,7.07,3.0,11.43,19.79,76.79,6.0,8.0,0.45,0.61,0.31,0.51
North Alabama,202.27,25.0,59.36,14.45,20.91,6.27,20.18,9.82,22.36,32.18,11.0,6.82,4.55,10.27,15.55,70.73,5.0,6.0,0.42,0.69,0.31,0.48
North Carolina A&T,200.0,24.82,54.55,21.36,31.0,5.55,18.09,10.09,26.09,36.18,12.64,6.27,4.36,12.82,18.82,76.55,7.0,4.0,0.46,0.71,0.31,0.53
North Carolina Central,200.0,24.71,59.36,17.29,23.5,5.93,19.71,9.07,21.0,30.07,14.64,9.86,3.29,11.93,19.14,72.64,4.0,10.0,0.41,0.74,0.3,0.46
North Central (IL),200.0,17.0,46.0,12.0,12.0,7.0,23.0,7.0,23.0,30.0,7.0,4.0,0.0,25.0,25.0,53.0,0.0,1.0,0.37,1.0,0.3,0.44
North Dakota,201.6,26.07,61.53,14.07,20.73,7.47,24.2,9.6,21.27,30.87,11.93,9.73,2.4,11.2,20.33,73.67,5.0,10.0,0.42,0.68,0.31,0.49
North Dakota State,201.79,28.71,63.36,15.29,21.0,9.21,26.29,10.93,22.93,33.86,15.79,9.79,3.0,11.14,15.21,81.93,10.0,4.0,0.45,0.73,0.35,0.52
North Florida,200.0,27.58,62.75,12.42,16.5,11.17,31.92,7.58,19.33,26.92,14.17,6.92,1.33,13.75,18.83,78.75,2.0,10.0,0.44,0.75,0.35,0.53
North Greenville,200.0,26.5,54.5,11.0,17.0,10.5,24.0,8.0,23.5,31.5,16.0,2.5,3.0,14.0,19.5,74.5,1.0,1.0,0.48,0.64,0.42,0.54
North Texas,202.08,22.83,53.08,16.42,23.5,6.25,19.75,9.08,22.08,31.17,13.33,8.83,5.08,11.67,20.33,68.33,8.0,4.0,0.44,0.7,0.32,0.51
North Texas at Dallas,200.0,10.0,57.0,18.0,27.0,2.0,15.0,9.0,19.0,28.0,2.0,6.0,0.0,19.0,23.0,40.0,0.0,1.0,0.18,0.67,0.13,0.19
Northeastern,202.5,26.3,58.5,14.0,20.0,6.6,21.0,9.0,21.8,30.8,14.3,8.1,4.0,12.8,19.2,73.2,4.0,6.0,0.45,0.68,0.32,0.52
Northeastern State,200.0,29.0,62.0,7.0,12.0,6.0,17.0,9.0,13.0,22.0,11.0,8.0,4.0,10.0,11.0,71.0,0.0,1.0,0.47,0.58,0.35,0.51
Northern Arizona,200.0,26.83,58.5,11.5,18.08,6.92,19.33,8.08,22.67,30.75,12.92,8.0,3.17,11.42,18.0,72.08,5.0,7.0,0.46,0.67,0.36,0.51
Northern Colorado,206.25,31.58,62.33,13.08,17.5,10.67,28.75,8.83,25.83,34.67,18.17,4.58,2.25,11.42,16.92,86.92,9.0,3.0,0.51,0.73,0.36,0.62
Northern Illinois,200.0,26.08,59.83,16.42,24.5,8.58,26.17,12.17,21.08,33.25,14.0,6.58,1.5,14.0,19.42,77.17,5.0,7.0,0.43,0.67,0.33,0.51
Northern Iowa,204.55,26.36,56.55,10.91,16.27,8.73,24.09,5.82,24.55,30.36,17.18,8.09,4.09,8.91,14.82,72.36,9.0,2.0,0.47,0.69,0.35,0.55
Northern Kentucky,200.0,30.14,63.64,14.5,19.86,9.5,27.93,10.93,21.79,32.71,15.86,10.14,3.93,12.93,18.57,84.29,9.0,5.0,0.47,0.72,0.35,0.57
Northern New Mexico,200.0,20.0,58.0,8.0,12.0,6.0,26.0,6.0,19.0,25.0,10.0,5.0,0.0,14.0,17.0,54.0,0.0,1.0,0.34,0.67,0.23,0.44
Northern State,200.0,27.0,67.0,9.0,11.0,12.0,40.0,7.0,15.0,22.0,10.0,7.0,2.0,11.0,19.0,75.0,0.0,1.0,0.4,0.82,0.3,0.56
Northwest Indian College,200.0,20.0,52.0,9.67,16.33,3.33,12.0,2.67,13.33,16.0,9.33,4.67,1.33,18.67,16.33,53.0,0.0,3.0,0.39,0.48,0.3,0.42
Northwestern,200.0,28.58,58.17,17.17,23.0,6.25,19.67,7.83,23.25,31.08,18.42,5.58,3.75,9.08,18.0,80.58,7.0,5.0,0.49,0.75,0.33,0.58
Northwestern Oklahoma State,200.0,21.0,59.0,11.0,19.0,4.0,17.0,6.0,19.0,25.0,8.0,9.0,2.0,13.0,18.0,57.0,0.0,1.0,0.36,0.58,0.24,0.4
Northwestern State,202.27,24.82,54.91,17.18,23.0,7.36,20.45,7.73,19.09,26.82,13.0,7.27,2.36,11.91,19.0,74.18,3.0,8.0,0.45,0.75,0.36,0.49
Northwood,200.0,30.0,68.0,17.0,25.0,8.0,27.0,9.0,21.0,30.0,21.0,13.0,4.0,15.0,20.0,85.0,1.0,0.0,0.44,0.68,0.3,0.54
Notre Dame,201.92,27.08,57.46,13.46,18.92,9.08,23.92,9.08,25.23,34.31,13.08,5.0,1.92,11.15,17.38,76.69,9.0,4.0,0.47,0.71,0.39,0.54
Notre Dame (MD),200.0,24.67,69.67,7.33,9.67,5.67,21.67,5.67,19.0,24.67,7.33,8.33,3.0,13.0,13.0,62.33,0.0,3.0,0.36,0.78,0.26,0.4
Oakland,200.0,29.85,62.62,15.85,21.54,7.46,20.85,7.92,21.77,29.69,15.85,7.54,3.0,10.08,15.54,83.0,6.0,7.0,0.47,0.74,0.35,0.53
Oakland City,200.0,16.0,57.0,13.5,19.5,4.0,19.5,7.0,15.5,22.5,6.0,6.5,1.5,11.0,19.0,49.5,0.0,2.0,0.28,0.69,0.21,0.32
Oakwood,200.0,22.67,65.0,11.0,18.0,5.33,25.0,8.67,19.0,27.67,9.33,7.67,1.67,14.0,18.67,61.67,0.0,3.0,0.35,0.61,0.2,0.43
Occidental,200.0,25.0,66.0,6.0,8.0,3.0,20.0,10.0,18.0,28.0,11.0,9.0,3.0,14.0,11.0,59.0,0.0,1.0,0.38,0.75,0.15,0.48
Oglethorpe,199.0,18.0,62.0,4.0,6.0,8.0,33.0,10.0,22.0,32.0,11.0,5.0,1.0,20.0,8.0,48.0,0.0,1.0,0.29,0.67,0.24,0.34
Ohio,201.92,27.17,59.5,14.58,21.5,6.08,21.67,8.75,22.0,30.75,12.67,5.92,3.08,11.08,16.17,75.0,5.0,7.0,0.45,0.72,0.27,0.55
Ohio Christian,200.0,16.0,54.0,5.0,11.0,7.0,24.0,5.0,16.0,21.0,10.0,7.0,0.0,11.0,17.0,44.0,0.0,1.0,0.3,0.46,0.29,0.3
Ohio State,203.82,29.55,59.09,18.73,23.82,8.18,24.27,7.91,26.0,33.91,17.0,5.0,2.09,10.0,17.55,86.0,8.0,3.0,0.5,0.79,0.33,0.62
Ohio Wesleyan,200.0,17.5,54.5,10.0,16.0,6.5,26.0,7.0,15.5,22.5,10.0,5.5,1.0,14.0,15.5,51.5,0.0,2.0,0.32,0.63,0.25,0.4
Oklahoma,200.0,29.55,64.0,16.0,21.91,10.0,29.91,11.18,23.45,34.64,16.18,6.82,4.0,9.36,17.55,85.09,8.0,3.0,0.46,0.73,0.33,0.57
Oklahoma Christian,200.0,23.0,68.0,4.0,7.0,7.0,26.0,6.0,9.0,15.0,11.0,6.0,1.0,7.0,20.0,57.0,0.0,1.0,0.34,0.57,0.27,0.38
Oklahoma State,200.0,31.83,64.25,18.92,25.33,7.67,22.75,9.17,27.0,36.17,16.5,7.5,3.17,13.08,17.58,90.25,11.0,1.0,0.5,0.75,0.34,0.59
Old Dominion,200.0,25.69,59.23,15.23,20.23,7.62,23.0,7.69,24.15,31.85,12.77,5.54,3.38,10.85,18.77,74.23,4.0,9.0,0.43,0.75,0.34,0.5
Old Westbury,200.0,8.0,51.0,3.0,6.0,4.0,18.0,4.0,14.0,18.0,5.0,4.0,1.0,13.0,13.0,23.0,0.0,1.0,0.16,0.5,0.22,0.12
Ole Miss,200.0,25.5,56.42,16.08,22.0,7.17,20.75,8.33,22.5,30.83,14.33,7.5,5.08,10.08,18.67,74.25,7.0,5.0,0.46,0.74,0.34,0.52
Olivet,200.0,25.0,64.0,9.0,16.0,6.0,30.0,8.0,21.0,29.0,20.0,9.0,2.0,17.0,18.0,65.0,0.0,1.0,0.39,0.56,0.2,0.56
Omaha,201.79,27.71,58.57,14.0,19.14,9.29,25.21,8.14,23.07,31.21,14.5,6.57,2.43,11.5,15.71,78.71,7.0,7.0,0.47,0.74,0.37,0.56
Oral Roberts,200.0,24.07,56.5,17.36,22.57,9.36,27.0,8.93,20.64,29.57,11.5,6.71,3.29,14.57,19.43,74.86,5.0,9.0,0.43,0.75,0.36,0.5
Oregon,200.0,25.75,59.25,17.5,24.0,9.0,26.67,11.75,22.33,34.08,15.25,6.25,4.25,12.58,16.08,78.0,6.0,6.0,0.43,0.74,0.32,0.51
Oregon State,203.85,23.38,53.15,17.85,22.85,8.62,25.31,7.08,23.0,30.08,13.85,6.23,4.46,12.08,18.31,73.23,7.0,6.0,0.44,0.79,0.34,0.53
Ottawa (AZ),200.0,14.0,61.0,7.0,13.0,4.0,26.0,7.0,17.0,24.0,5.0,8.0,3.0,11.0,21.0,39.0,0.0,1.0,0.23,0.54,0.15,0.29
Our Lady of the Lake,200.0,20.0,65.0,3.0,5.0,3.0,17.0,8.0,19.0,27.0,7.0,8.0,2.0,17.0,8.0,46.0,0.0,1.0,0.31,0.6,0.18,0.35
Ozark Christian College,200.0,23.0,47.0,13.0,19.0,6.0,17.0,1.0,11.0,12.0,10.0,4.0,1.0,20.0,13.0,65.0,0.0,1.0,0.49,0.68,0.35,0.57
Pacific,200.0,27.77,56.77,13.77,17.92,7.0,20.69,8.92,25.54,34.46,14.46,5.69,2.85,12.38,18.92,76.31,9.0,4.0,0.5,0.72,0.34,0.57
Pacific Lutheran,200.0,27.0,74.0,11.0,14.0,14.0,42.0,11.0,26.0,37.0,17.0,3.0,2.0,15.0,22.0,79.0,0.0,1.0,0.36,0.79,0.33,0.41
Paine,200.0,12.0,73.0,3.0,6.0,2.0,23.0,7.0,20.0,27.0,4.0,6.0,2.0,13.0,15.0,29.0,0.0,1.0,0.16,0.5,0.09,0.2
Park (AZ),200.0,28.0,55.0,3.0,5.0,12.0,23.0,4.0,17.0,21.0,15.0,6.0,2.0,11.0,18.0,71.0,0.0,1.0,0.51,0.6,0.52,0.5
Paul Quinn,200.0,21.0,52.0,15.0,22.0,7.0,21.0,7.0,26.0,33.0,8.0,8.0,1.0,26.0,26.0,64.0,0.0,1.0,0.4,0.68,0.33,0.45
Paul Smith's,200.0,22.0,59.0,6.0,10.0,7.0,24.0,8.0,13.0,21.0,10.0,6.0,0.0,18.0,9.0,57.0,0.0,1.0,0.37,0.6,0.29,0.43
Penn,200.0,26.73,60.27,17.0,24.45,7.82,20.27,11.27,23.45,34.73,15.09,6.0,3.27,11.73,17.0,78.27,6.0,5.0,0.44,0.67,0.38,0.47
Penn State,200.0,28.33,58.75,14.67,20.42,6.83,20.08,8.08,20.58,28.67,13.42,8.0,1.83,9.0,14.33,78.17,8.0,4.0,0.48,0.73,0.34,0.56
Penn State Abington,200.0,23.0,62.0,12.0,21.0,2.0,15.0,6.0,18.0,24.0,9.0,1.0,3.0,6.0,15.0,60.0,0.0,1.0,0.37,0.57,0.13,0.45
Penn State Brandywine,200.0,14.0,50.0,4.0,4.0,10.0,25.0,12.0,18.0,30.0,13.0,6.0,1.0,26.0,9.0,42.0,0.0,1.0,0.28,1.0,0.4,0.16
Penn State Hazleton,200.0,29.0,71.0,6.0,8.0,10.0,24.0,7.0,22.0,29.0,8.0,8.0,2.0,10.0,19.0,74.0,0.0,1.0,0.41,0.75,0.42,0.4
Penn State New Kensington,200.0,15.0,51.0,9.0,18.0,4.0,17.0,5.0,20.0,25.0,4.0,8.0,1.0,19.0,11.0,43.0,0.0,1.0,0.29,0.5,0.24,0.32
Penn State Shenango,200.0,19.5,69.5,4.25,6.75,7.75,32.25,6.25,21.25,27.5,10.25,4.0,1.75,17.0,11.25,51.0,0.0,4.0,0.28,0.68,0.24,0.31
Penn State York,200.0,21.0,60.0,10.0,17.0,1.0,13.0,8.0,25.0,33.0,5.0,3.0,5.0,12.0,12.0,53.0,0.0,1.0,0.35,0.59,0.08,0.43
Pensacola Christian,200.0,19.0,53.0,10.0,12.0,8.0,21.0,4.0,20.0,24.0,8.0,7.0,5.0,28.0,13.0,56.0,0.0,1.0,0.36,0.83,0.38,0.34
Pepperdine,201.92,26.15,58.85,14.77,18.85,7.38,23.31,9.69,22.08,31.77,14.62,5.54,2.69,11.85,15.62,74.46,5.0,8.0,0.44,0.79,0.32,0.52
Peru State,200.0,18.0,53.0,2.0,8.0,8.0,24.0,5.0,18.0,23.0,10.0,4.0,1.0,12.0,19.0,46.0,0.0,1.0,0.34,0.25,0.33,0.34
Pfeiffer,200.0,23.0,66.0,3.0,4.0,6.0,30.0,6.0,14.0,20.0,12.0,7.0,4.0,19.0,12.0,55.0,0.0,1.0,0.35,0.75,0.2,0.47
Piedmont,200.0,29.0,71.0,16.0,26.0,7.0,23.0,4.0,27.0,31.0,14.0,13.0,1.0,8.0,17.0,81.0,0.0,1.0,0.41,0.62,0.3,0.46
Pitt,200.0,26.15,57.31,12.92,18.85,8.77,23.77,10.38,22.31,32.69,13.31,6.62,3.77,11.0,17.15,74.0,7.0,6.0,0.46,0.68,0.36,0.52
Pittsburgh-Greensburg,200.0,19.0,54.0,13.0,18.0,6.0,22.0,3.0,13.0,16.0,12.0,11.0,1.0,13.0,14.0,57.0,0.0,1.0,0.35,0.72,0.27,0.41
Point,200.0,17.0,58.0,19.0,25.0,7.0,18.0,6.0,23.0,29.0,5.0,4.0,0.0,17.0,22.0,60.0,0.0,1.0,0.29,0.76,0.39,0.25
Portland,202.08,30.25,60.08,16.67,23.08,6.25,19.5,8.25,25.58,33.83,19.83,6.83,3.42,14.92,17.83,83.42,7.0,5.0,0.5,0.73,0.33,0.59
Portland State,200.0,29.82,62.18,13.18,19.55,7.36,22.18,10.64,24.64,35.27,16.82,8.0,4.18,12.82,21.18,80.18,6.0,5.0,0.47,0.67,0.33,0.56
Prairie View,200.0,29.27,63.73,19.36,25.55,5.91,18.73,9.0,22.64,31.64,12.18,10.82,3.82,12.27,19.73,83.82,5.0,6.0,0.45,0.76,0.3,0.51
Presbyterian,200.0,24.57,54.71,13.29,19.5,5.36,18.07,10.64,22.5,33.14,13.57,5.93,4.07,13.0,17.21,67.79,6.0,8.0,0.45,0.68,0.28,0.53
Princeton,200.0,23.23,56.85,13.08,18.77,9.0,27.46,8.54,23.85,32.38,13.23,4.92,1.69,11.92,16.92,68.54,3.0,10.0,0.41,0.67,0.33,0.49
Providence,205.77,31.31,65.0,17.46,22.08,9.69,27.62,9.0,27.15,36.15,16.77,7.15,4.92,10.92,19.15,89.77,7.0,6.0,0.48,0.79,0.35,0.58
Puget Sound,200.0,14.0,51.0,7.0,12.0,8.0,23.0,6.0,14.0,20.0,10.0,6.0,2.0,18.0,25.0,43.0,0.0,1.0,0.28,0.58,0.35,0.21
Purdue,200.0,31.33,61.5,12.67,16.83,9.58,23.92,12.08,25.5,37.58,20.42,5.42,4.0,10.0,14.17,84.92,11.0,1.0,0.51,0.76,0.4,0.58
Purdue Fort Wayne,200.0,31.21,64.0,12.64,17.57,9.79,27.93,7.07,21.93,29.0,15.0,10.14,3.64,9.79,15.64,84.86,8.0,6.0,0.49,0.74,0.36,0.59
Queens (NC),202.08,29.08,61.08,15.0,20.67,10.83,30.17,9.75,21.67,31.42,16.67,5.25,3.0,11.75,20.5,84.0,5.0,7.0,0.48,0.75,0.36,0.6
Quinnipiac,200.0,29.0,64.77,13.0,18.69,7.77,21.85,10.85,23.15,34.0,14.15,9.46,5.23,10.77,16.69,78.77,9.0,4.0,0.45,0.69,0.36,0.49
Radford,200.0,27.43,63.0,16.64,23.71,10.64,31.5,10.21,22.07,32.29,14.64,8.5,3.71,12.57,19.93,82.14,6.0,8.0,0.44,0.7,0.33,0.53
