Team,Conference
Youngstown State,Horizon
Purdue Fort Wayne,Horizon
Northern Kentucky,Horizon
Oakland,Horizon
Wright State,Horizon
IU Indianapolis,Horizon
Detroit Mercy,Horizon
Green Bay,Horizon
Yale,Ivy League
Cornell,Ivy League
Princeton,Ivy League
Dartmouth,Ivy League
Harvard,Ivy League
Brown,Ivy League
Penn,Ivy League
Columbia,Ivy League
Quinnipiac,MAAC
Merrimack,MAAC
Marist,MAAC
Mount St. Mary's,MAAC
Manhattan,MAAC
Iona,MAAC
Sacred Heart,MAAC
Siena,MAAC
Rider,MAAC
Fairfield,MAAC
St. Peter's,MAAC
Niagara,MAAC
Canisius,MAAC
Buffalo,MAC
Miami (OH),MAC
Kent State,MAC
Akron,MAC
Bowling Green,MAC
UMass,MAC
Toledo,MAC
Eastern Michigan,MAC
Western Michigan,MAC
Central Michigan,MAC
Northern Illinois,MAC
Ball State,MAC
Ohio,MAC
Howard,MEAC
Norfolk State,MEAC
Maryland-Eastern Shore,MEAC
North Carolina Central,MEAC
Delaware State,MEAC
Coppin State,MEAC
Morgan State,MEAC
South Carolina State,MEAC
Belmont,MVC
Northern Iowa,MVC
Illinois State,MVC
Drake,MVC
Murray State,MVC
Valparaiso,MVC
Bradley,MVC
Indiana State,MVC
Southern Illinois,MVC
UIC,MVC
Evansville,MVC
Utah State,Mountain West
Colorado State,Mountain West
New Mexico,Mountain West
Wyoming,Mountain West
Fresno State,Mountain West
Nevada,Mountain West
Boise State,Mountain West
Grand Canyon,Mountain West
San Diego State,Mountain West
San Jose State,Mountain West
UNLV,Mountain West
Air Force,Mountain West
Central Connecticut,NEC
New Haven,NEC
LIU,NEC
Le Moyne,NEC
Mercyhurst,NEC
Saint Francis (PA),NEC
Stonehill,NEC
Wagner,NEC
FDU,NEC
Chicago State,NEC
UT-Martin,OVC
SIU-Edwardsville,OVC
Tennessee State,OVC
Lindenwood,OVC
Morehead State,OVC
Southeast Missouri State,OVC
Southern Indiana,OVC
Tennessee Tech,OVC
Eastern Illinois,OVC
Little Rock,OVC
Western Illinois,OVC
American,Patriot League
Colgate,Patriot League
Navy,Patriot League
Boston University,Patriot League
Loyola (MD),Patriot League
Holy Cross,Patriot League
Army,Patriot League
Lehigh,Patriot League
Lafayette,Patriot League
Bucknell,Patriot League
Vanderbilt,SEC
LSU,SEC
Georgia,SEC
Missouri,SEC
Auburn,SEC
Tennessee,SEC
Texas A&M,SEC
Alabama,SEC
Arkansas,SEC
Oklahoma,SEC
Texas,SEC
Florida,SEC
Kentucky,SEC
Ole Miss,SEC
South Carolina,SEC
Mississippi State,SEC
ETSU,Southern
Mercer,Southern
Wofford,Southern
Furman,Southern
Chattanooga,Southern
Western Carolina,Southern
Samford,Southern
VMI,Southern
The Citadel,Southern
UNC Greensboro,Southern
Stephen F. Austin,Southland
Incarnate Word,Southland
Lamar,Southland
East Texas A&M,Southland
Houston Christian,Southland
Southeastern Louisiana,Southland
Texas A&M-Corpus Christi,Southland
New Orleans,Southland
Northwestern State,Southland
Nicholls State,Southland
McNeese State,Southland
Texas-Rio Grande Valley,Southland
Alabama A&M,SWAC
Southern,SWAC
Alabama State,SWAC
Grambling,SWAC
Prairie View,SWAC
Bethune-Cookman,SWAC
Texas Southern,SWAC
Jackson State,SWAC
Arkansas-Pine Bluff,SWAC
Mississippi Valley State,SWAC
Alcorn State,SWAC
Florida A&M,SWAC
North Dakota State,Summit
St. Thomas,Summit
South Dakota,Summit
South Dakota State,Summit
Denver,Summit
North Dakota,Summit
Omaha,Summit
Oral Roberts,Summit
Kansas City,Summit
South Alabama,Sun Belt
Arkansas State,Sun Belt
Marshall,Sun Belt
Southern Miss,Sun Belt
James Madison,Sun Belt
Coastal Carolina,Sun Belt
Texas State,Sun Belt
Appalachian State,Sun Belt
Georgia Southern,Sun Belt
Troy,Sun Belt
Old Dominion,Sun Belt
Louisiana-Monroe,Sun Belt
Georgia State,Sun Belt
Louisiana,Sun Belt
Saint Mary's,WCC
Santa Clara,WCC
Gonzaga,WCC
Pacific,WCC
Seattle,WCC
Loyola Marymount,WCC
Portland,WCC
San Francisco,WCC
Oregon State,WCC
San Diego,WCC
Pepperdine,WCC
Washington State,WCC
California Baptist,WAC
Abilene Christian,WAC
UT Arlington,WAC
Utah Valley,WAC
Tarleton State,WAC
Utah Tech,WAC
Southern Utah,WAC
